Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5, C6, C7",0402,5,100nF 50V,
"C2, C8",0603,2,10uF 25V,
"DIFF_DRV1, DIFF_RECV1, DIFF_RECV2",SOIC-8_3.9x4.9mm_P1.27mm,3,BSP48520AS,
ENC1,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,1,MT6701QT,
J1,JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal,1,S8B-XH-A,
J2,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,S2B-XH-A,
J3,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,S3B-XH-A,
"R1, R2, R4",0402,3,10K,
"R3, R5, R6",0402,3,100,
U1,SOT-23-5,1,SN74LVC1G14DBV,
