Designator,Mid X,Mid Y,Rotation,Layer
R36,20.25,42.73,180.0,top
R37,-9.75,36.0,0.0,top
R38,18.4,40.4,180.0,top
R39,18.6,35.8,180.0,top
R40,22.4,30.6,180.0,top
R41,32.2,29.0,180.0,top
R42,17.0,0.25,270.0,top
R43,17.0,7.0,270.0,top
R44,17.0,-13.25,270.0,top
R45,17.0,-6.5,270.0,top
R46,17.0,-26.75,270.0,top
R47,17.0,-20.0,270.0,top
R48,36.2,20.6,270.0,top
R49,-37.2,17.0,270.0,top
R50,-37.6,14.2,270.0,top
R51,-46.6,16.2,0.0,top
R52,-47.8,10.8,270.0,top
R53,-45.4,10.0,90.0,top
R54,-1.8,27.8,180.0,top
R55,-14.8,25.266686,270.0,top
R56,14.8,12.8,90.0,top
R57,14.8,15.0,90.0,top
R58,14.8,17.0,270.0,top
R59,14.8,19.2,270.0,top
R6,32.4,22.2,180.0,top
R60,-4.2,25.6,225.0,top
R61,35.95,15.0,90.0,top
R62,35.95,-27.0,90.0,top
R63,35.95,-20.0,90.0,top
R64,35.95,-13.0,90.0,top
R65,35.95,-6.0,90.0,top
R66,35.95,1.0,90.0,top
R67,35.95,8.0,90.0,top
R68,-15.75,26.25,90.0,top
R69,27.55,-20.8,90.0,top
R7,30.4,22.2,180.0,top
R70,27.55,14.2,90.0,top
R71,27.55,-27.8,90.0,top
R72,27.55,-13.8,90.0,top
R73,27.55,-34.8,90.0,top
R74,16.8,-34.8,90.0,top
R75,35.949999,-34.0,90.0,top
R76,25.199999,-34.0,90.0,top
R8,-15.200001,-6.199999,270.0,top
R9,-15.700001,-11.299999,180.0,top
RPOL1,-42.6,38.8,180.0,top
SW1,3.75,7.999999,0.0,top
SW2,18.0,46.0,180.0,top
TP1,-18.8,-29.0,0.0,top
TP2,-6.8,-29.0,0.0,top
TP3,5.2,-29.0,0.0,top
TP4,-26.0,29.2,0.0,top
TP5,-23.2,12.8,0.0,top
TP6,-23.2,17.4,0.0,top
TP7,-35.2,-9.4,0.0,top
TP8,-23.6,-9.4,0.0,top
Y1,5.350001,11.499999,0.0,top
Y2,0.25,10.999999,180.0,top
